C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
G***:1
G1:1
G3:1
Q1:1
Q2:1
Q3:1
R2:1
R4:1
R5:1
REF1:1
REF2:1
SW1:1
SW2:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
