Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,100uF,
"C2, C4, C5, C6, C7, C8, C9",0402,7,0.1uF,C1525
C3,0805,1,15pF,C63339
"Q1, Q2, Q3",MOSFET(SMD),3,NMOS,C2589
R2,0805,1,10kΩ,C17414
"R4, R5",0805,2,3.3kΩ,C26010
U1,CLOCK,1,~,C2901579
"U4, U5, U6",SSOP-24_5.3x8.2mm_P0.65mm,3,~,C19197
